供应商SKU,Wayfair Listing,产品名,类目,SKU价值分层,促销准入,定价分组,库存状态,可用库存,总可售含在途,5月订单数,YB历史订单数,5月回款额,YB历史回款额,5月毛利,YB历史毛利,5月毛利率,YB历史毛利率,当前Base预估毛利率,当前Base,美国前台价,Base前台价比例,平台空间率,Wayfair Total Cost,客诉扣款记录数,客诉扣款金额,广告花费,广告订单,ROAS,Listing问题,系统总建议,详情锚点
PT01-WH,DMOM1038,白色压型对开门餐厨柜,餐边柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.3006138107416879,136.0,212.99,0.6385276304051833,0.2512834194797879,159.469144485,,,0.0,0.0,0,Required Tags 79.2%,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-PT01-WH
PT02-WH,DMOM1039,白色压型上玻下铁中空对开门储物柜餐厨柜,餐边柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.3025872249060653,162.0,249.99,0.6480259210368414,0.2528571379375176,186.778244087,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-PT02-WH
CT-01,DMOM1040,"火烧云钢木结合
半升降咖啡桌",咖啡桌,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.3006138107416879,136.0,246.99,0.5506295801449451,0.3355583397586947,164.110445663,,,0.0,0.0,0,Required Tags 77.8%,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-CT-01
PT03-WH,DMOM1042,白色压型通对玻储物柜餐厨柜,餐边柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.3025872249060653,162.0,249.99,0.6480259210368414,0.2540511987439497,186.479740826,,,29.3,0.0,0,Required Tags 79.2%,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-PT03-WH
PT04-WH,DMOM1043,白色金属上对开下2抽压型储物柜,餐边柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.3006138107416879,170.0,259.99,0.6538713027424131,0.2530583896342167,194.197349279,,,0.0,0.0,0,Required Tags 79.2%,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-PT04-WH
PT05-WH,DMOM1044,白色金属中对开压型储物柜,餐边柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.3031971892841457,99.0,169.99,0.5823871992470145,0.3078689927525149,117.655349922,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-PT05-WH
W3D-G-locker,DMOM1047,3门更衣柜灰色,locker,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.3006138107416878,221.0,319.99,0.6906465827057096,0.2081421724960155,253.386586223,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-W3D-G-locker
LFC-4B-400,DMOM1054,宽卡4抽黑色,文件柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.2563043478260869,180.0,279.99,0.6428801028608164,0.2121565285049425,204.831424154,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；禁止深折扣促销，当前促销利润不够；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-LFC-4B-400
LFC-4W-400,DMOM1053,宽卡4抽白色,文件柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.2563043478260869,180.0,279.99,0.6428801028608164,0.2121565285049425,204.831424154,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；禁止深折扣促销，当前促销利润不够；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-LFC-4W-400
LFC-2B-680,DMOM1021,680宽二抽-黑,文件柜,A,可参加5%-10%轻促,维持观察,库存不足,,,11.0,56.0,1182.0,5920.8,404.88,1906.152,0.3425380710659898,0.3219416295095257,0.3455555555555555,120.0,165.99,0.7229351165732875,0.2283869183746009,128.080055419,,,402.38,9.0,0,Reviews 11；客户反馈含 Damage/Missing/Defect,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；补推荐TAG到95%目标；图片不足8张：优先补图；复核配送速度问题；回看Customer Feedback原因；促销/广告前先确认库存,sku-LFC-2B-680
4T-Kayak,DMOM1003,,,A,可参加5%-10%轻促,维持观察,库存不足,,,6.0,42.0,749.0,5206.6,254.06,1917.964,0.3391989319092123,0.3683716820958014,0.3447619047619047,140.0,194.99,0.717985537719883,0.2063226057284989,154.759155109,,,32.69,2.0,0,Reviews 2,维持Base Cost，促销不超过5%，先看库存和转化；优先复核包裹尺寸、发货方式、仓库位置；补推荐TAG到95%目标；回看Customer Feedback原因；促销/广告前先确认库存,sku-4T-Kayak
MFC-D2-W,DMOM1020,2抽鹅颈活动柜白色,文件柜,B,禁止促销/先修复,维持观察,库存不足,,,6.0,41.0,594.0,3885.2,138.36,782.088,0.2329292929292929,0.2012992896118604,0.2329292929292928,110.0,154.99,0.7097232079488999,0.2283486013936383,119.59825027,2.0,100.86,229.78,5.0,0,Required Tags 78.6%；Reviews 14,维持Base Cost，促销不超过5%，先看库存和转化；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；先复盘客诉扣款原因，再决定是否促销或放量；优先补必填/推荐TAG；促销/广告前先确认库存,sku-MFC-D2-W
LFC-2B,DMOM1018,宽卡2抽黑色,文件柜,A,谨慎参加5%轻促,维持观察,库存不足,,,6.0,36.0,729.0,4155.3,232.86,1256.5120000000002,0.3194238683127572,0.302387793901764,0.3194238683127571,135.0,193.99,0.6959121604206402,0.2267546083921852,150.001873518,2.0,119.36,28.05,3.0,0,Reviews 5,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；先复盘客诉扣款原因，再决定是否促销或放量；补推荐TAG到95%目标；促销/广告前先确认库存,sku-LFC-2B
5T-1980-1200,DMOM1000,,,A,禁止促销/先修复,维持观察,库存不足,,,5.0,31.0,534.0,3096.0,201.96,1110.24,0.3782022471910112,0.3586046511627907,0.3844444444444444,120.0,172.99,0.6936817157061101,0.2217294806520608,134.633017142,,,61.6,4.0,0,Required Tags 75.0%；Reviews 8,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；促销/广告前先确认库存,sku-5T-1980-1200
VFC-3B,DMOM1019,窄卡3抽黑色,文件柜,C,禁止促销/先修复,维持观察,库存不足,,,4.0,44.0,426.0,4549.2,116.84,1181.628,0.2742723004694836,0.2597441308361909,0.2835185185185184,120.0,163.99,0.7317519360936642,0.2179802158546254,128.243424402,,,140.6,2.0,0,Required Tags 78.6%；Reviews 4,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；回看Customer Feedback原因；不重复深折扣，先复盘促销承接；促销/广告前先确认库存,sku-VFC-3B
5T-1830-1200,DMOM1000,,,B,禁止促销/先修复,维持观察,库存不足,,,2.0,18.0,238.0,2093.0,87.72,743.42,0.3685714285714285,0.3551935021500239,0.4003174603174603,140.0,197.99,0.7071064195161372,0.2194751447194303,154.536116097,,,61.6,4.0,0,Required Tags 75.0%；Reviews 8,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；促销/广告前先确认库存,sku-5T-1830-1200
MFC-D2-B,DMOM1020,2抽鹅颈活动柜黑色,文件柜,B,禁止促销/先修复,维持观察,库存不足,,,1.0,71.0,99.0,6748.5,23.06,1373.59,0.2329292929292929,0.2035400459361339,0.2329292929292928,110.0,157.99,0.6962465978859421,0.2266810076966897,122.176667594,2.0,93.5,229.78,5.0,0,Required Tags 78.6%；Reviews 14,维持Base Cost，促销不超过5%，先看库存和转化；优先复核包裹尺寸、发货方式、仓库位置；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；先复盘客诉扣款原因，再决定是否促销或放量；优先补必填/推荐TAG；复核可售率问题；复核履约和取消原因；促销/广告前先确认库存,sku-MFC-D2-B
LFC-2W-680,DMOM1021,680宽二抽-白,文件柜,A,禁止促销/先修复,维持观察,库存不足,,,1.0,61.0,102.0,6330.0,31.68,2034.0,0.3105882352941176,0.3213270142180094,0.3455555555555555,120.0,165.99,0.7229351165732875,0.2290269883908669,127.973810197,,,402.38,9.0,0,Reviews 11,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；补推荐TAG到95%目标；图片不足8张：优先补图；复核可售率问题；促销/广告前先确认库存,sku-LFC-2W-680
LFC-3W,DMOM1025,宽卡3抽白色,文件柜,A,谨慎参加5%轻促,维持观察,库存不足,,,1.0,51.0,139.5,6545.65,40.19,1638.816,0.2881003584229391,0.2503671904241749,0.2881003584229391,155.0,219.99,0.7045774807945815,0.2247148028955862,170.554990511,,,124.49,1.0,0,Reviews 8,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；补推荐TAG到95%目标；图片不足8张：优先补图；促销/广告前先确认库存,sku-LFC-3W
LFC-4B,DMOM1027,宽卡4抽黑色,文件柜,B,禁止促销/先修复,维持观察,库存不足,,,1.0,41.0,170.0,6960.0,46.58,1900.38,0.2739999999999999,0.2730431034482758,0.3109999999999999,200.0,285.99,0.6993251512290639,0.2187114426903039,223.440714505,,,20.55,0.0,0,Reviews 4,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；评分低：先处理差评原因，不建议放量；补推荐TAG到95%目标；图片不足8张：优先补图；广告降到最低或暂停；促销/广告前先确认库存,sku-LFC-4B
LFC-3B,DMOM1025,宽卡3抽黑色,文件柜,B,谨慎参加5%轻促,维持观察,库存不足,,,1.0,23.0,131.75,3123.25,33.365,854.815,0.2532447817836812,0.2736940686784599,0.2913978494623655,155.0,219.99,0.7045774807945815,0.2235045769898631,170.821228108,1.0,98.35,124.49,1.0,0,Reviews 8,维持Base Cost，促销不超过5%，先看库存和转化；先复盘客诉扣款原因，再决定是否促销或放量；补推荐TAG到95%目标；图片不足8张：优先补图；先修价格/主图/评价/配送承接；促销/广告前先确认库存,sku-LFC-3B
VFC-4B,DMOM1023,窄卡4抽黑色,文件柜,C,禁止促销/先修复,维持观察,库存不足,,,1.0,17.0,119.0,1960.0,24.56,358.3,0.2063865546218487,0.1828061224489796,0.2471428571428571,140.0,199.99,0.7000350017500875,0.2234241604880244,155.307402144,1.0,152.51,30.71,0.0,0,Reviews 6,维持Base Cost，促销不超过5%，先看库存和转化；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；先复盘客诉扣款原因，再决定是否促销或放量；补推荐TAG到95%目标；图片不足8张：优先补图；广告降到最低或暂停；回看Customer Feedback原因；不重复深折扣，先复盘促销承接；促销/广告前先确认库存,sku-VFC-4B
LFC-2W,DMOM1018,宽卡2抽白色,文件柜,B,暂不促销,维持观察,库存不足,,,1.0,16.0,121.5,1669.95,38.81,363.353,0.3194238683127572,0.2175831611724901,0.3194238683127571,135.0,192.99,0.699518109746619,0.2286169735996684,148.869210265,,,28.05,3.0,0,Reviews 5,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；补推荐TAG到95%目标；促销/广告前先确认库存,sku-LFC-2W
6T-2095-122,DMOM1000,,,B,禁止促销/先修复,维持观察,库存不足,,,1.0,12.0,135.0,1470.0,56.9,541.8,0.4214814814814814,0.3685714285714285,0.4214814814814814,150.0,209.99,0.714319729510929,0.2197369106338397,163.847446136,,,61.6,4.0,0,Required Tags 75.0%；Reviews 8,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；不重复深折扣，先复盘促销承接；促销/广告前先确认库存,sku-6T-2095-122
3T-Kayak,DMOM1004,,,C,禁止促销/先修复,维持观察,库存不足,,,,11.0,,1082.4,,379.456,,0.3505691056910568,0.354141414141414,110.0,145.99,0.7534762654976368,0.203753735111994,116.243992211,,,0.0,0.0,0,,维持Base Cost，促销不超过5%，先看库存和转化；补推荐TAG到95%目标；复核可售率问题；促销/广告前先确认库存,sku-3T-Kayak
2T-Kayak,DMOM1001,,,C,禁止促销/先修复,维持观察,库存不足,,,,9.0,,747.9499999999999,,253.073,,0.3383555050471288,0.3552046783625729,95.0,129.99,0.7308254481113932,0.2036113209016078,103.522564396,,,0.0,0.0,0,Reviews 2,维持Base Cost，促销不超过5%，先看库存和转化；回看Customer Feedback/退货原因，修说明、包装或质量；评分低：先处理差评原因，不建议放量；补推荐TAG到95%目标；复核可售率问题；促销/广告前先确认库存,sku-2T-Kayak
VFC-5B,DMOM1028,窄卡5抽黑色,文件柜,C,暂不促销,维持观察,库存不足,,,,3.0,,459.0,,115.56,,0.2517647058823529,0.2517647058823529,170.0,249.99,0.6800272010880435,0.2193852646345853,195.145877694,,,0.0,0.0,0,,维持Base Cost，促销不超过5%，先看库存和转化；优先复核包裹尺寸、发货方式、仓库位置；禁止深折扣促销，当前促销利润不够；补推荐TAG到95%目标；图片不足8张：优先补图；促销/广告前先确认库存,sku-VFC-5B
